Zhongli: "Who, indeed. Second, there were five workers at the mine. One of them left the site to take respite. When he awoke, his colleagues had disappeared without a trace."
Zhongli: Those who kept working all disappeared. The one who left early emerged safe and sound. It would appear that the incident occurred on-site.
Uncle Dai,"Now that you mention it, I recall Bravo saying that he took a break."
Uncle Dai,Could someone have entered the site and simply walked away with them!?
Zhongli: This leads me to my third point. Mr. Kun Jun: here made good use of his... expert techniques... to arrive at a conclusion. It was a child that took your men away.
Uncle Dai,A child!? But there are no settlements here for miles around! There's no way a child would have made it over to the mine!
Paimon: "Unlikely as it sounds, that's our conclusion. Your men were following a child."
Uncle Dai,Where did they go?
Zhongli: "We believe that they followed the road north, away from the mine and toward the ruins."
Uncle Dai,"North! Right, I'll rally my men and head in pursuit."
Traveller: Do you need help?
Uncle Dai,"You've been invaluable to the investigation, but leave the legwork to us. If we set off now and make haste, we might be able to catch them."
Zhongli: "Not so fast. The incident occurred six days ago. Even if they set out on foot, they will have covered a lot of ground by now."
Uncle Dai,*sigh* You're right... New plan. I'll lead my search party over to the settlements further out and make some inquiries.
Uncle Dai,There are only a few settlements around here with lodging for the night. We'll go investigate and see if we can come up with anything.
Uncle Dai,"In the meantime you could keep looking for clues. If we don't see each other, let's reconvene at Wangshu Inn tomorrow evening."
Zhongli: Agreed.
Uncle Dai,"Alright, me and my men will get going!"
Paimon: "So... they're gonna talk to the people over at the settlements, while we keep investigating here..."
Zhongli: Correct.
Paimon: But... there aren't any more clues at the mine... Shouldn't we go north?
Zhongli: Wait... I believe we're missing someone.
Paimon: Huh?
Paimon: "Oh yeah, where's Kun Jun:? Paimon: bets he's still investigating. Let's go find him!"
Paimon: Kun Jun:! What are you searching for? We're all out of clues! Let's get going!
Kun Jun: "Ah, apologies, I'm conducting a quick search for my own benefit. I'm looking for a precious stone known asDragonfall."
Zhongli: Dragonfall?
Traveller: Never heard of it.
Traveller: Not my area of expertise.
Zhongli: Dragonfall is often used in forging. What use do you have for it?
Kun Jun: I... I don't know.
Kun Jun: "I—I'm sorry, I don't recall why I'm seeking it... I've been feeling very... absent lately. Name and address aside, I'm having trouble remembering things."
Kun Jun: "In fact, I've been feeling extremely... anxious... as if there's something I've forgotten to finish. It's... an unpleasant sensation."
Paimon: "Oh, Paimon: knows that feeling! When you know you've forgotten something but you can't remember exactly what it is."
Kun Jun: "Ugh... I don't even know where to start with it, I've been... aimlessly wandering. That day at the market, I overheard a conversation while I was buying something. They mentioned Dragonfall."
Kun Jun: "It sounded so familiar to me, as if whatever it was I had to do was linked to that stone... So I decided to look for some."
Kun Jun: "Perhaps if I can retrieve some, I'll remember what it is I have to do."
Zhongli: "I see... If I am able to during our endeavour, I will help you look for this stone."
Kun Jun: "Really? Oh, thank you Mr. Zhongli:! You're too kind!"
Zhongli: Think nothing of it.
Paimon: Shouldn't we get going?
Zhongli: "Heading north from The Chasm, we'll reach Lingju Pass. If this is indeed the path they chose, there will be traces."
Paimon: Great! Let's have a look!
Paimon: "Wait, there are tracks here!"
Paimon: These must have been left by the miners!
Zhongli: "Let us make our way to the end of Lingju Pass. If there are no footprints there, it would suggest that the miners are still within the pass itself. However, if we find new tracks, we can follow them wherever they may lead."
Paimon: Hey! Footprints!
Zhongli: It would appear that they made their way through Lingju Pass and kept moving.
Paimon: If we follow their footprints we should be able to find where they went!
Paimon: Oh no! The footprints end here!
Zhongli: "We should inquire with anyone nearby. If the miners came through here, they may well have seen them."
Paimon: "Hi there, have you seen anyone dressed like a miner around here?"
Yonggui,A miner? I'm afraid not.
Paimon: *sigh* Let's try someone else.
Yonggui,*sigh* My legs don't work like they used to... Guess my age is catching up with me...
Paimon: Hello! Have you seen any miners nearby? About this tall — four of them?
Wei,Stop bothering me! Can't you see I'm cloud-watching?
Paimon: "Geez! A little grumpy, aren't we?"
Paimon: "Whatever, let's go ask someone else."
Wei,You again... I'm busy!
Paimon: "Hey there, seen any miners?"
Ling,...It must have been about four or five days ago. There were a few men who came through here carrying baskets and picks... I guess that could have been them?
Paimon: Yeah! That's them!
Zhongli: Four or five days ago? It appears that they were moving slower than we'd anticipated. Traversing the geography of Lingju Pass must have held them up.
Ling,It was so strange! Four big guys with lifeless expressions... It was like they were in some sort of trance! And there was a child staggering in front of them...
Zhongli: "Huh, this child... did you see what they look like?"
Ling,"I caught a glimpse... blue hair, short. I think... I think it was a girl! She wasn't smiling, in fact she looked very serious."
Zhongli: And they took this road?
Ling,"Yes, they followed it straight from here."
Paimon: Let's go after them!
Ling,I've never seen anything like it... Were they sleepwalking? So bizarre...
Paimon: More footprints... *gasp* There's a person over there!
Wanyu,"Help! Please, save me!"
Paimon: "Is that one of the people we're looking for? Oh! Rescue first, ask questions later!"
Wanyu,Those monsters were so aggressive — they must have noticed me walking through! Before I knew it they were all over me... Thank you all for saving me.
Wanyu,"My name is Wanyu, I belong to Liyue's Shenglu Hall. I head up our human culture and civilization research."
Paimon: Huh? You sure you're not... a miner?
Wanyu,A miner?
Paimon: Yeah. We're looking for a group of four strong fellas carrying mining equipment.
Wanyu,I... I think I saw those people.
Paimon: Really!?
Wanyu,Yes. I set off from Nantianmen the day before yesterday heading for Lingju Pass. About halfway there I came across some people — a few men and a child.
Traveller: Can you be a bit more specific?
Wanyu,"I was in a hurry, I didn't get a good look. I'm afraid I'm not even sure what they looked like... apologies."
Zhongli: I think that's all we needed to hear. Thank you.
Wanyu,I hope it's useful to you!
Wanyu,"I'd better get going, there's a conference I need to attend. Again, thank you all for your help."
Paimon: "According to this scholar, the miners were heading for Nantianmen."
Kun Jun: Can we be absolutely sure that it was the men that we're looking for?
Paimon: A child with a group of adults! Sounds pretty close to Paimon:!
Traveller: It could easily have been a different group.
Paimon: Uh... but...
Kun Jun: "Hey, perhaps that rock over there can tell us more!"
Paimon: Aha! Paimon: nearly forgot about our secret weapon!
Kun Jun: "It looks promising, I'll do my best."
Kun Jun: Hmm...
Kun Jun: ...
Kun Jun: It's the same group alright. They followed this road.
Zhongli: "Haha, Mr. Kun Jun:  your stone-seeing is something I won't forget in a hurry."
Kun Jun: "I suppose it is an asset, though I rarely find a use for it. But praise from Mr. Zhongli: is high praise indeed."
Paimon: It's a good thing we brought our "Kun Jun: compass" along! We would've lost all sense of direction a long time ago.
Kun Jun: "Hahaha, you think so? I guess it's been a worthwhile trip then."
Kun Jun: It feels like... like we're cracking a criminal case. It's a lot of fun.
Zhongli: "Be that as it may, we would do well to keep our guards high."
Zhongli: Four fully-grown men in a trance-like state... walking ceaselessly day and night... over hills and mountains... led by a child... This is no ordinary incident.
Kun Jun: "Oh! You're quite right, Mr. Zhongli:. We should have our wits about us."
Zhongli: "That's not all. Our scholar was attacked by Geovishap Hatchlings, but the level of aggression they exhibited was... unusual."
Zhongli: We have encountered many clues along the way. So far they've pointed us in the right direction.
Zhongli: "Hmm, the miners headed in the direction of Nantianmen the day before yesterday. From here they would have had to navigate a perilous mountain road. If their destination is indeed Nantianmen, we should be able to catch up with them."
